,GDPC96,GDPCTPI
1995-01-01,9025.267,80.985
1995-04-01,9044.668,81.346
1995-07-01,9120.684,81.691
1995-10-01,9184.275,82.110
1996-01-01,9247.188,82.554
1996-04-01,9407.052,82.859
1996-07-01,9488.879,83.269
1996-10-01,9592.458,83.650
1997-01-01,9666.235,84.075
1997-04-01,9809.551,84.450
1997-07-01,9932.672,84.686
1997-10-01,10008.874,85.007
1998-01-01,10103.425,85.134
1998-04-01,10194.277,85.344
1998-07-01,10328.787,85.663
1998-10-01,10507.575,85.888
1999-01-01,10601.179,86.252
1999-04-01,10684.049,86.615
1999-07-01,10819.914,86.919
1999-10-01,11014.254,87.275
2000-01-01,11043.044,87.939
2000-04-01,11258.454,88.386
2000-07-01,11267.867,88.908
2000-10-01,11334.544,89.359
2001-01-01,11297.171,89.977
2001-04-01,11371.251,90.603
2001-07-01,11340.075,90.891
2001-10-01,11380.128,91.144
2002-01-01,11477.868,91.469
2002-04-01,11538.770,91.873
2002-07-01,11596.430,92.282
2002-10-01,11598.824,92.828
2003-01-01,11645.819,93.501
2003-04-01,11738.706,93.780
2003-07-01,11935.461,94.304
2003-10-01,12042.817,94.813
2004-01-01,12127.623,95.624
2004-04-01,12213.818,96.441
2004-07-01,12303.533,97.146
2004-10-01,12410.282,97.864
2005-01-01,12534.113,98.774
2005-04-01,12587.535,99.445
2005-07-01,12683.153,100.470
2005-10-01,12748.699,101.312
2006-01-01,12915.938,102.071
2006-04-01,12962.462,102.980
2006-07-01,12965.916,103.763
2006-10-01,13060.679,104.237
2007-01-01,13089.316,105.366
2007-04-01,13194.148,106.188
2007-07-01,13268.458,106.709
2007-10-01,13363.488,106.940
2008-01-01,13339.175,107.454
2008-04-01,13359.046,108.295
2008-07-01,13223.507,109.488
2008-10-01,12993.665,109.154
2009-01-01,12832.619,109.465
2009-04-01,12810.012,109.555
2009-07-01,12860.800,109.759
2009-10-01,13019.012,109.693
2010-01-01,13138.832,109.959
2010-04-01,13194.862,110.485
2010-07-01,13278.515,111.060
2010-10-01,13382.551,111.153
